row,col,level,conductance,conductance_uS
0,0,6,0.206897,21.48
0,1,1,0.034483,4.41
0,2,2,0.068966,7.83
0,3,8,0.275862,28.31
0,4,28,0.965517,96.59
0,5,14,0.482759,48.79
0,6,9,0.310345,31.72
0,7,13,0.448276,45.38
0,8,8,0.275862,28.31
0,9,29,1.000000,100.00
0,10,1,0.034483,4.41
0,11,11,0.379310,38.55
0,12,0,0.000000,1.00
0,13,25,0.862069,86.34
0,14,17,0.586207,59.03
0,15,25,0.862069,86.34
0,16,26,0.896552,89.76
0,17,11,0.379310,38.55
0,18,15,0.517241,52.21
0,19,27,0.931034,93.17
0,20,12,0.413793,41.97
0,21,18,0.620690,62.45
0,22,5,0.172414,18.07
0,23,18,0.620690,62.45
0,24,19,0.655172,65.86
0,25,20,0.689655,69.28
0,26,26,0.896552,89.76
0,27,11,0.379310,38.55
0,28,9,0.310345,31.72
0,29,15,0.517241,52.21
0,30,21,0.724138,72.69
0,31,8,0.275862,28.31
0,32,5,0.172414,18.07
0,33,14,0.482759,48.79
0,34,1,0.034483,4.41
0,35,23,0.793103,79.52
0,36,15,0.517241,52.21
0,37,10,0.344828,35.14
0,38,14,0.482759,48.79
0,39,9,0.310345,31.72
0,40,25,0.862069,86.34
0,41,5,0.172414,18.07
0,42,15,0.517241,52.21
0,43,13,0.448276,45.38
0,44,14,0.482759,48.79
0,45,28,0.965517,96.59
0,46,25,0.862069,86.34
0,47,3,0.103448,11.24
0,48,17,0.586207,59.03
0,49,12,0.413793,41.97
0,50,24,0.827586,82.93
0,51,19,0.655172,65.86
0,52,10,0.344828,35.14
0,53,13,0.448276,45.38
0,54,15,0.517241,52.21
0,55,0,0.000000,1.00
0,56,17,0.586207,59.03
0,57,11,0.379310,38.55
0,58,0,0.000000,1.00
0,59,27,0.931034,93.17
0,60,20,0.689655,69.28
0,61,1,0.034483,4.41
0,62,16,0.551724,55.62
0,63,29,1.000000,100.00
1,0,17,0.586207,59.03
1,1,21,0.724138,72.69
1,2,26,0.896552,89.76
1,3,28,0.965517,96.59
1,4,22,0.758621,76.10
1,5,0,0.000000,1.00
1,6,15,0.517241,52.21
1,7,21,0.724138,72.69
1,8,12,0.413793,41.97
1,9,17,0.586207,59.03
1,10,26,0.896552,89.76
1,11,8,0.275862,28.31
1,12,26,0.896552,89.76
1,13,20,0.689655,69.28
1,14,5,0.172414,18.07
1,15,1,0.034483,4.41
1,16,20,0.689655,69.28
1,17,17,0.586207,59.03
1,18,14,0.482759,48.79
1,19,4,0.137931,14.66
1,20,9,0.310345,31.72
1,21,5,0.172414,18.07
1,22,6,0.206897,21.48
1,23,5,0.172414,18.07
1,24,3,0.103448,11.24
1,25,24,0.827586,82.93
1,26,1,0.034483,4.41
1,27,24,0.827586,82.93
1,28,5,0.172414,18.07
1,29,10,0.344828,35.14
1,30,9,0.310345,31.72
1,31,20,0.689655,69.28
1,32,10,0.344828,35.14
1,33,23,0.793103,79.52
1,34,13,0.448276,45.38
1,35,18,0.620690,62.45
1,36,18,0.620690,62.45
1,37,6,0.206897,21.48
1,38,6,0.206897,21.48
1,39,14,0.482759,48.79
1,40,13,0.448276,45.38
1,41,8,0.275862,28.31
1,42,2,0.068966,7.83
1,43,10,0.344828,35.14
1,44,23,0.793103,79.52
1,45,19,0.655172,65.86
1,46,26,0.896552,89.76
1,47,2,0.068966,7.83
1,48,2,0.068966,7.83
1,49,17,0.586207,59.03
1,50,25,0.862069,86.34
1,51,22,0.758621,76.10
1,52,2,0.068966,7.83
1,53,5,0.172414,18.07
1,54,5,0.172414,18.07
1,55,5,0.172414,18.07
1,56,27,0.931034,93.17
1,57,26,0.896552,89.76
1,58,5,0.172414,18.07
1,59,18,0.620690,62.45
1,60,12,0.413793,41.97
1,61,29,1.000000,100.00
1,62,4,0.137931,14.66
1,63,18,0.620690,62.45
2,0,25,0.862069,86.34
2,1,27,0.931034,93.17
2,2,20,0.689655,69.28
2,3,23,0.793103,79.52
2,4,10,0.344828,35.14
2,5,17,0.586207,59.03
2,6,0,0.000000,1.00
2,7,14,0.482759,48.79
2,8,29,1.000000,100.00
2,9,1,0.034483,4.41
2,10,8,0.275862,28.31
2,11,1,0.034483,4.41
2,12,0,0.000000,1.00
2,13,5,0.172414,18.07
2,14,13,0.448276,45.38
2,15,0,0.000000,1.00
2,16,10,0.344828,35.14
2,17,8,0.275862,28.31
2,18,26,0.896552,89.76
2,19,17,0.586207,59.03
2,20,1,0.034483,4.41
2,21,9,0.310345,31.72
2,22,17,0.586207,59.03
2,23,9,0.310345,31.72
2,24,29,1.000000,100.00
2,25,9,0.310345,31.72
2,26,25,0.862069,86.34
2,27,7,0.241379,24.90
2,28,13,0.448276,45.38
2,29,12,0.413793,41.97
2,30,20,0.689655,69.28
2,31,13,0.448276,45.38
2,32,25,0.862069,86.34
2,33,19,0.655172,65.86
2,34,13,0.448276,45.38
2,35,15,0.517241,52.21
2,36,0,0.000000,1.00
2,37,7,0.241379,24.90
2,38,6,0.206897,21.48
2,39,3,0.103448,11.24
2,40,23,0.793103,79.52
2,41,26,0.896552,89.76
2,42,16,0.551724,55.62
2,43,14,0.482759,48.79
2,44,0,0.000000,1.00
2,45,26,0.896552,89.76
2,46,23,0.793103,79.52
2,47,11,0.379310,38.55
2,48,19,0.655172,65.86
2,49,2,0.068966,7.83
2,50,15,0.517241,52.21
2,51,5,0.172414,18.07
2,52,7,0.241379,24.90
2,53,25,0.862069,86.34
2,54,6,0.206897,21.48
2,55,19,0.655172,65.86
2,56,0,0.000000,1.00
2,57,23,0.793103,79.52
2,58,5,0.172414,18.07
2,59,23,0.793103,79.52
2,60,24,0.827586,82.93
2,61,5,0.172414,18.07
2,62,22,0.758621,76.10
2,63,29,1.000000,100.00
3,0,0,0.000000,1.00
3,1,16,0.551724,55.62
3,2,14,0.482759,48.79
3,3,28,0.965517,96.59
3,4,8,0.275862,28.31
3,5,21,0.724138,72.69
3,6,17,0.586207,59.03
3,7,20,0.689655,69.28
3,8,17,0.586207,59.03
3,9,22,0.758621,76.10
3,10,9,0.310345,31.72
3,11,20,0.689655,69.28
3,12,21,0.724138,72.69
3,13,2,0.068966,7.83
3,14,12,0.413793,41.97
3,15,16,0.551724,55.62
3,16,19,0.655172,65.86
3,17,4,0.137931,14.66
3,18,24,0.827586,82.93
3,19,3,0.103448,11.24
3,20,23,0.793103,79.52
3,21,0,0.000000,1.00
3,22,26,0.896552,89.76
3,23,19,0.655172,65.86
3,24,6,0.206897,21.48
3,25,12,0.413793,41.97
3,26,27,0.931034,93.17
3,27,2,0.068966,7.83
3,28,23,0.793103,79.52
3,29,27,0.931034,93.17
3,30,8,0.275862,28.31
3,31,10,0.344828,35.14
3,32,16,0.551724,55.62
3,33,8,0.275862,28.31
3,34,8,0.275862,28.31
3,35,13,0.448276,45.38
3,36,29,1.000000,100.00
3,37,24,0.827586,82.93
3,38,20,0.689655,69.28
3,39,22,0.758621,76.10
3,40,25,0.862069,86.34
3,41,16,0.551724,55.62
3,42,3,0.103448,11.24
3,43,10,0.344828,35.14
3,44,20,0.689655,69.28
3,45,10,0.344828,35.14
3,46,23,0.793103,79.52
3,47,21,0.724138,72.69
3,48,21,0.724138,72.69
3,49,5,0.172414,18.07
3,50,1,0.034483,4.41
3,51,23,0.793103,79.52
3,52,7,0.241379,24.90
3,53,20,0.689655,69.28
3,54,4,0.137931,14.66
3,55,4,0.137931,14.66
3,56,28,0.965517,96.59
3,57,2,0.068966,7.83
3,58,8,0.275862,28.31
3,59,9,0.310345,31.72
3,60,21,0.724138,72.69
3,61,27,0.931034,93.17
3,62,0,0.000000,1.00
3,63,24,0.827586,82.93
4,0,7,0.241379,24.90
4,1,2,0.068966,7.83
4,2,5,0.172414,18.07
4,3,23,0.793103,79.52
4,4,8,0.275862,28.31
4,5,26,0.896552,89.76
4,6,3,0.103448,11.24
4,7,8,0.275862,28.31
4,8,19,0.655172,65.86
4,9,25,0.862069,86.34
4,10,18,0.620690,62.45
4,11,8,0.275862,28.31
4,12,9,0.310345,31.72
4,13,22,0.758621,76.10
4,14,7,0.241379,24.90
4,15,10,0.344828,35.14
4,16,4,0.137931,14.66
4,17,17,0.586207,59.03
4,18,13,0.448276,45.38
4,19,2,0.068966,7.83
4,20,5,0.172414,18.07
4,21,10,0.344828,35.14
4,22,9,0.310345,31.72
4,23,13,0.448276,45.38
4,24,14,0.482759,48.79
4,25,16,0.551724,55.62
4,26,28,0.965517,96.59
4,27,19,0.655172,65.86
4,28,25,0.862069,86.34
4,29,4,0.137931,14.66
4,30,20,0.689655,69.28
4,31,27,0.931034,93.17
4,32,29,1.000000,100.00
4,33,0,0.000000,1.00
4,34,11,0.379310,38.55
4,35,10,0.344828,35.14
4,36,28,0.965517,96.59
4,37,26,0.896552,89.76
4,38,1,0.034483,4.41
4,39,19,0.655172,65.86
4,40,24,0.827586,82.93
4,41,2,0.068966,7.83
4,42,8,0.275862,28.31
4,43,0,0.000000,1.00
4,44,11,0.379310,38.55
4,45,21,0.724138,72.69
4,46,15,0.517241,52.21
4,47,2,0.068966,7.83
4,48,7,0.241379,24.90
4,49,4,0.137931,14.66
4,50,14,0.482759,48.79
4,51,27,0.931034,93.17
4,52,29,1.000000,100.00
4,53,27,0.931034,93.17
4,54,22,0.758621,76.10
4,55,8,0.275862,28.31
4,56,29,1.000000,100.00
4,57,0,0.000000,1.00
4,58,8,0.275862,28.31
4,59,9,0.310345,31.72
4,60,0,0.000000,1.00
4,61,8,0.275862,28.31
4,62,5,0.172414,18.07
4,63,12,0.413793,41.97
5,0,2,0.068966,7.83
5,1,8,0.275862,28.31
5,2,28,0.965517,96.59
5,3,8,0.275862,28.31
5,4,5,0.172414,18.07
5,5,23,0.793103,79.52
5,6,15,0.517241,52.21
5,7,0,0.000000,1.00
5,8,3,0.103448,11.24
5,9,3,0.103448,11.24
5,10,1,0.034483,4.41
5,11,6,0.206897,21.48
5,12,7,0.241379,24.90
5,13,7,0.241379,24.90
5,14,26,0.896552,89.76
5,15,4,0.137931,14.66
5,16,23,0.793103,79.52
5,17,20,0.689655,69.28
5,18,27,0.931034,93.17
5,19,14,0.482759,48.79
5,20,12,0.413793,41.97
5,21,18,0.620690,62.45
5,22,13,0.448276,45.38
5,23,8,0.275862,28.31
5,24,9,0.310345,31.72
5,25,6,0.206897,21.48
5,26,12,0.413793,41.97
5,27,4,0.137931,14.66
5,28,1,0.034483,4.41
5,29,22,0.758621,76.10
5,30,26,0.896552,89.76
5,31,23,0.793103,79.52
5,32,24,0.827586,82.93
5,33,29,1.000000,100.00
5,34,3,0.103448,11.24
5,35,1,0.034483,4.41
5,36,3,0.103448,11.24
5,37,20,0.689655,69.28
5,38,10,0.344828,35.14
5,39,20,0.689655,69.28
5,40,5,0.172414,18.07
5,41,15,0.517241,52.21
5,42,16,0.551724,55.62
5,43,1,0.034483,4.41
5,44,27,0.931034,93.17
5,45,4,0.137931,14.66
5,46,20,0.689655,69.28
5,47,17,0.586207,59.03
5,48,3,0.103448,11.24
5,49,24,0.827586,82.93
5,50,5,0.172414,18.07
5,51,14,0.482759,48.79
5,52,5,0.172414,18.07
5,53,15,0.517241,52.21
5,54,14,0.482759,48.79
5,55,3,0.103448,11.24
5,56,1,0.034483,4.41
5,57,18,0.620690,62.45
5,58,7,0.241379,24.90
5,59,17,0.586207,59.03
5,60,2,0.068966,7.83
5,61,2,0.068966,7.83
5,62,24,0.827586,82.93
5,63,8,0.275862,28.31
6,0,26,0.896552,89.76
6,1,28,0.965517,96.59
6,2,27,0.931034,93.17
6,3,18,0.620690,62.45
6,4,26,0.896552,89.76
6,5,10,0.344828,35.14
6,6,22,0.758621,76.10
6,7,11,0.379310,38.55
6,8,22,0.758621,76.10
6,9,14,0.482759,48.79
6,10,15,0.517241,52.21
6,11,9,0.310345,31.72
6,12,26,0.896552,89.76
6,13,19,0.655172,65.86
6,14,14,0.482759,48.79
6,15,10,0.344828,35.14
6,16,15,0.517241,52.21
6,17,25,0.862069,86.34
6,18,9,0.310345,31.72
6,19,10,0.344828,35.14
6,20,24,0.827586,82.93
6,21,3,0.103448,11.24
6,22,20,0.689655,69.28
6,23,9,0.310345,31.72
6,24,8,0.275862,28.31
6,25,21,0.724138,72.69
6,26,15,0.517241,52.21
6,27,26,0.896552,89.76
6,28,1,0.034483,4.41
6,29,8,0.275862,28.31
6,30,1,0.034483,4.41
6,31,20,0.689655,69.28
6,32,4,0.137931,14.66
